Time,O2,DIC,TA,C_pbr,C_tot,1,pH,CO2,HCO3,CO3,PM,P_CO2,P_HCO3,P_CO3,R
2.5431549687282837,204.75349809716096,1362.6634136852144,2000.6650264733796,2555.0042557442316,2554.0042557442316,0.0,8.587351867989748,1.719722337787914,955.8485462312309,405.0951451161957,4800.0,0.0,0.0,0.0,-480.0
2.546004169562196,202.79976723962093,1364.0310252854924,2000.6650264733796,2553.6366441439536,2552.6366441439536,0.0,8.58551036847924,1.7309311049450165,958.0077762764467,404.2923179041006,4800.0,0.0,0.0,0.0,-480.0
2.548611190583971,201.0121025389753,1365.2823905759444,2000.6650264733796,2552.385278853502,2551.385278853502,0.0,8.583825337599889,1.741244117436853,959.9837538304672,403.55739262804036,4800.0,0.0,0.0,0.0,-480.0
2.5488533703961087,201.23683276369587,1365.8147182329571,2000.6650264733796,2552.269037343676,2551.269037343676,0.0,8.583108510146438,1.7456478363399595,960.8244105633263,403.24465983329105,4800.0,0.0,0.0,0.0,-480.0
2.551702571230021,203.20290921805432,1372.0633043426053,2000.6650264733796,2550.901425743398,2549.901425743398,0.0,8.574693035583046,1.7980891537137917,970.695777487781,399.56943770111053,4800.0,0.0,0.0,0.0,-480.0
2.5545517720639337,204.31702965198227,1378.284957309829,2000.6650264733796,2549.53381414312,2548.53381414312,0.0,8.566310724968766,1.8517044579301882,980.5308915546076,395.9023612972912,4800.0,0.0,0.0,0.0,-480.0
2.557400972897846,204.94837048236766,1384.4790765021314,2000.6650264733796,2548.166202542842,2547.166202542842,0.0,8.557961090804566,1.9065108554893513,990.3284527888098,392.244112857832,4800.0,0.0,0.0,0.0,-480.0
2.5602501737317582,205.30613363971895,1390.6450526174187,2000.6650264733796,2546.798590942564,2545.798590942564,0.0,8.549643686046359,1.9625253733129204,1000.087156637889,388.5953706062166,4800.0,0.0,0.0,0.0,-480.0
2.5630993745656707,205.50886799586675,1396.7822677315446,2000.6650264733796,2545.430979342286,2544.430979342286,0.0,8.54135810435506,2.0197649303766996,1009.8056936536468,384.956809147521,4800.0,0.0,0.0,0.0,-480.0
2.565948575399583,205.62375187453932,1402.8900953607517,2000.6650264733796,2544.063367742008,2543.063367742008,0.0,8.533103980369498,2.078246307373102,1019.4827492244194,381.3290998289591,4800.0,0.0,0.0,0.0,-480.0
2.5687977762334957,205.68885334934427,1408.9679005400487,2000.6650264733796,2542.69575614173,2541.69575614173,0.0,8.524880990001606,2.1379861143227727,1029.1170033580563,377.71291106766955,4800.0,0.0,0.0,0.0,-480.0
2.571646977067408,205.7257445308638,1415.0150399185666,2000.6650264733796,2541.328144541452,2540.328144541452,0.0,8.516688850750784,2.1990007560703138,1038.7071305175332,374.10890864496304,4800.0,0.0,0.0,0.0,-480.0
2.5744961779013207,205.7466497296782,1421.0308618730012,2000.6650264733796,2539.960532941174,2538.960532941174,0.0,8.508527322039733,2.2613063955662294,1048.2517995076428,370.517755969792,4800.0,0.0,0.0,0.0,-480.0
2.577345378735233,205.75849612004762,1427.0147066402758,2000.6650264733796,2538.592921340896,2537.592921340896,0.0,8.50039620556564,2.324918914889711,1057.749673416485,366.940114308901,4800.0,0.0,0.0,0.0,-480.0
2.5801945795691457,205.76520913751426,1432.9659064705932,2000.6650264733796,2537.225309740618,2536.225309740618,0.0,8.492295345667358,2.3898538739278288,1067.1994096111462,363.376642985519,4800.0,0.0,0.0,0.0,-480.0
2.583043780403058,205.7690132164026,1438.8837858020836,2000.6650264733796,2535.85769814034,2534.85769814034,0.0,8.484224629706148,2.4561264666473,1076.599659788853,359.8279995465833,4800.0,0.0,0.0,0.0,-480.0
2.58589298123697,205.77116888131198,1444.7676614582824,2000.6650264733796,2534.490086540062,2533.490086540062,0.0,8.476183988455107,2.5237514749161445,1085.9490700862914,356.2948398970747,4800.0,0.0,0.0,0.0,-480.0
2.5887421820708827,205.77239043621077,1450.6168428697067,2000.6650264733796,2533.122474939784,2532.122474939784,0.0,8.468173396498122,2.5927432197980322,1095.246281246187,352.7778184037216,4800.0,0.0,0.0,0.0,-480.0
2.591591382904795,205.77308265714188,1456.4306323208064,2000.6650264733796,2531.754863339506,2530.754863339506,0.0,8.46019287263189,2.6631155102974557,1104.4899288446065,349.2775879659021,4800.0,0.0,0.0,0.0,-480.0
2.5944405837387077,205.77347491934637,1462.2083252236155,2000.6650264733796,2530.387251739228,2529.387251739228,0.0,8.452242480269097,2.734881589510068,1113.6786435795534,345.794800054552,4800.0,0.0,0.0,0.0,-480.0
2.59728978457262,205.7736972033458,1467.9492104194144,2000.6650264733796,2529.01964013895,2528.01964013895,0.0,8.444322327838686,2.808054078155272,1122.8110516225784,342.33010471868056,4800.0,0.0,0.0,0.0,-480.0
2.6001389854065327,205.7738231654595,1473.6525705097404,2000.6650264733796,2527.652028538672,2526.652028538672,0.0,8.436432569179063,2.8826449154783993,1131.8857750350442,338.88415055921786,4800.0,0.0,0.0,0.0,-480.0
